node1,node2,weight
10.0,1.0,0.9
1.0,5.0,0.7
8.0,1.0,0.65
1.0,23.0,0.8
4.0,1.0,1.0
29.0,1.0,0.7
1.0,10.0,0.85
1.0,17.0,0.95
21.0,1.0,0.9
1.0,2.0,0.9
23.0,7.0,0.75
7.0,23.0,0.7
23.0,1.0,0.85
23.0,17.0,0.55
23.0,19.0,0.55
7.0,1.0,0.85
2.0,1.0,0.9
5.0,1.0,0.65
6.0,1.0,0.9
1.0,29.0,0.7
1.0,6.0,0.9
1.0,9.0,0.6
1.0,19.0,0.8
1.0,8.0,0.85
1.0,4.0,1.0
7.0,5.0,0.55
6.0,5.0,0.6
5.0,6.0,0.65
5.0,7.0,0.55
9.0,1.0,1.0
7.0,29.0,0.6
7.0,6.0,0.65
19.0,7.0,0.95
7.0,3.0,0.8
7.0,19.0,0.75
13.0,29.0,0.6
29.0,13.0,0.6
29.0,7.0,0.6
17.0,1.0,0.95
1.0,3.0,0.8
13.0,1.0,0.9
1.0,20.0,0.6
1.0,21.0,0.8
1.0,7.0,0.95
19.0,1.0,0.95
1.0,15.0,0.55
1.0,13.0,0.65
10.0,6.0,0.85
10.0,25.0,1.0
13.0,10.0,0.9
21.0,10.0,0.9
10.0,8.0,0.55
17.0,23.0,0.55
2.0,23.0,0.75
23.0,20.0,0.55
19.0,23.0,0.75
6.0,4.0,0.6
13.0,6.0,0.45
6.0,10.0,0.65
6.0,7.0,0.75
2.0,6.0,0.75
2.0,13.0,0.55
13.0,4.0,0.9
17.0,13.0,0.6
13.0,7.0,0.55
13.0,17.0,0.6
13.0,25.0,1.0
4.0,13.0,0.9
7.0,13.0,0.55
13.0,16.0,0.9
